CustomerID,Name,Gender,DateOfBirth,Address,City,State,ZipCode,RiskRating,Email,CustomerSince,AccountBalance
CUST0014,Charlotte Smith,Female,1943-06-29,95382 Bray Union Suite 431,Wilkinsonstad,Connecticut,49806,5,sarahdavis@example.net,2010-12-17,6083.52
CUST0015,David Hunter,Female,1994-09-18,1202 Kevin Union,Crystalland,North Carolina,45897,1,castillowilliam@example.org,2011-04-22,79735.49
CUST0016,Diana Silva,Female,1938-10-25,6243 Porter Courts Apt. 143,Gonzalezberg,Kansas,91291,5,perryamy@example.com,2018-12-30,47327.58
CUST0017,Heather Foster,Female,1950-03-21,19672 Miller Mall Suite 352,North Jennifer,Virginia,15440,3,brooksjason@example.com,2022-11-16,26703.59
CUST0018,Craig Ramirez,Male,1958-06-04,4746 Rachel Circles,Cunninghambury,Nebraska,56500,4,melissa51@example.com,2014-04-22,44358.21
CUST0019,Sarah Williams,Female,1940-05-05,170 Robinson Mountain Apt. 225,East Michael,Vermont,98604,4,louiswalters@example.org,2024-07-22,87116.3
CUST0020,John Harrison,Male,1967-02-10,5764 Martinez Valley Apt. 213,Carrollfort,Arkansas,83288,2,bethanyclark@example.com,2012-05-01,28154.52
CUST0021,David Jensen,Male,1979-03-22,9663 Sherry Forest,West Jennifer,Colorado,49246,3,ronald07@example.org,2017-10-06,37664.72
CUST0022,Annette Williams,Male,1943-06-13,13047 Mcdowell Mountain Apt. 250,West Gloria,Wisconsin,57819,2,tdavidson@example.net,2016-03-17,88401.24
CUST0023,Eric Gordon,Male,1999-01-07,020 Marshall Fort Suite 851,Michaelton,North Dakota,76162,3,james84@example.org,2024-07-21,86938.4
CUST0024,Janet Williams,Female,1951-01-20,00166 Day Mission,West Steve,Minnesota,87790,2,scottdennis@example.org,2012-06-27,7510.51
CUST0025,Benjamin Norris,Female,1955-02-25,9417 Rodriguez Forges Apt. 945,Austinshire,Tennessee,86930,2,victorbrown@example.net,2013-11-08,12897.67
CUST0026,Christopher Cox,Male,1963-02-11,86159 Dennis Mission Apt. 445,Gutierrezmouth,Virginia,04071,1,dakotahughes@example.net,2023-05-16,60983.84
CUST0027,Barbara Russell,Male,1997-09-19,478 Davis Mountains Suite 464,Torreshaven,North Carolina,91329,2,iwalker@example.org,2022-02-21,86343.35
CUST0028,Linda Ross,Male,1996-08-20,80529 Ball Circle,West Earl,Montana,84608,2,yatesjesus@example.com,2005-07-21,21102.82
CUST0029,Gregory Evans,Female,1990-09-13,28838 Snyder Manor,Russellport,Maryland,83545,1,thompsonteresa@example.net,2008-02-18,26845.11
CUST0030,Jennifer Kramer,Male,1960-06-03,6479 Jeffery Road,Kyleport,Delaware,83508,1,adamtravis@example.org,2012-08-28,75674.82
CUST0031,Patricia Stewart,Female,1950-01-11,4043 Jackson Harbor,Shannonland,Missouri,08029,4,wilsonkathy@example.net,2022-12-29,92873.23
CUST0032,Sara Lee,Male,1936-04-20,55586 Cheryl Trail,West Evanbury,Alaska,19435,3,rodriguezdebra@example.net,2017-03-27,50141.72
CUST0033,Daniel Moody,Female,1993-04-02,6022 Wallace Mountains Apt. 722,Lauraport,Maine,54851,2,alee@example.com,2013-06-01,29153.74
CUST0034,Eric Garcia,Male,1994-07-16,19872 Nicholas Parkways,West Kevinview,Indiana,29179,1,samanthawebb@example.net,2022-05-04,53543.24
CUST0035,Lisa Sanchez,Male,1963-10-13,70341 Jennifer Expressway Suite 914,Barbarafort,Vermont,18892,5,elizabethshaffer@example.org,2019-08-09,73020.54
CUST0036,Christine Martinez,Female,1991-09-22,634 Fuller Brook,South Tiffanybury,Maryland,63350,5,catherine59@example.com,2022-01-14,51208.49
CUST0037,Carol Harrington,Female,1947-11-11,84647 Carrillo Radial Apt. 259,East Katherinemouth,Nevada,63725,5,porterana@example.net,2017-08-16,85084.83
CUST0038,Renee Bell,Female,1942-12-03,61685 Jon Prairie Apt. 828,Port Jessica,Maryland,99617,1,irichardson@example.net,2022-04-21,27045.6
CUST0039,Sara Gibbs,Male,1993-06-29,73896 Cox Orchard,Smithfort,Louisiana,22102,1,howard27@example.net,2007-03-16,7803.47
CUST0040,Gabriela Jones,Female,1938-07-12,9512 Anderson Extensions,Lake Garrett,Montana,27082,1,jameshensley@example.com,2024-01-11,34888.36
CUST0041,Nicole Hester,Female,1988-08-28,146 Osborne Inlet Suite 266,Amberport,Oklahoma,50405,1,briancole@example.com,2008-08-21,99591.52
CUST0042,Mario Dalton,Male,1994-11-21,1913 Campbell Falls,Kimberlychester,Virginia,94895,5,gomezcrystal@example.com,2019-03-09,50910.39
CUST0043,Deborah Chandler,Male,1949-04-19,518 Wagner Skyway,Jeremyburgh,Arizona,09778,5,patricia24@example.org,2006-12-07,35470.36
CUST0044,Patricia Ward,Male,2004-05-24,312 Robbins Pines,Lake Lisa,Massachusetts,75466,5,mtaylor@example.net,2021-07-25,85882.26
CUST0045,Austin Cole,Male,1940-11-09,389 Pamela Pass,Andersonmouth,North Dakota,75100,3,kgill@example.org,2016-12-09,77137.66
CUST0046,Lisa Allen,Female,1934-11-09,838 Thomas Mountains,South Joshua,Louisiana,81681,4,aliciawilson@example.org,2022-09-16,45569.7
CUST0047,Heather Castro,Female,1939-08-15,985 Bradley Walks,West Sarah,Ohio,98560,1,terryjenkins@example.org,2020-08-02,23652.93
CUST0048,Greg Wilcox,Male,1953-05-06,5378 Martinez Pine,Justinchester,Washington,25037,5,robertflynn@example.net,2022-08-26,48888.89
CUST0049,Mark Maldonado,Male,1947-11-03,75749 Morgan Keys Suite 288,Andersonchester,Arizona,43991,3,dfoster@example.com,2017-06-16,9372.78
CUST0050,Natalie Hamilton,Female,1968-03-27,7388 Mary Shoals,Pattersonmouth,South Dakota,05457,4,nancyholloway@example.com,2023-11-22,41183.63
CUST0051,Nathan Mcintyre,Male,1976-05-08,7278 Taylor Land Apt. 608,Roberthaven,Georgia,58469,1,dramsey@example.net,2011-05-17,46741.65
CUST0052,Charles Rodriguez,Male,1965-08-30,544 Benson Mountain Apt. 169,Port Mark,New Mexico,34156,3,brendahammond@example.com,2006-07-04,80322.86
CUST0053,Lisa Hendricks,Male,1977-12-13,41922 Paula Fork,Millershire,Idaho,10506,3,scottcindy@example.org,2019-03-10,72582.14
CUST0054,Jennifer Fitzgerald,Female,1940-07-09,324 Marie Row Suite 553,Davismouth,Michigan,53116,3,williamrodriguez@example.org,2018-04-22,78570.38
CUST0055,Stephen Wheeler,Male,1937-04-18,6307 Jennifer Dale Suite 533,Ericmouth,Arizona,51118,2,piercejason@example.com,2012-07-19,95687.09
CUST0056,James Martinez,Female,2003-05-26,064 Campbell Island Suite 035,North Theresaborough,New Jersey,97331,1,pattybarnes@example.org,2014-10-22,97599.9
CUST0057,Cody Love,Male,1983-12-16,7847 Ramirez Neck Apt. 464,Christopherview,North Carolina,42393,3,amy75@example.net,2019-03-23,47760.64
CUST0058,Megan Griffin,Male,1956-10-31,8086 Smith Fork,Donnaside,Montana,58894,4,kimdaniel@example.org,2012-01-11,82663.98
CUST0059,Katherine Smith,Female,2004-02-22,75336 Thompson Avenue Apt. 092,Carlsonstad,Georgia,33555,2,mharris@example.com,2018-09-28,38918.86
CUST0060,Joel Manning,Female,1961-08-03,838 Lisa Neck,North Jamesville,Massachusetts,38217,2,jamesalexander@example.net,2021-03-02,90743.13
CUST0061,Sally Silva,Male,1974-03-05,47344 Daniel Prairie,West Rachel,Georgia,29531,3,tannermckinney@example.org,2015-01-31,29595.8
CUST0062,Savannah Baker,Male,1985-06-26,7749 Andrews Corner Apt. 552,Justinstad,Virginia,92731,5,lisa93@example.net,2008-08-11,30959.18
CUST0063,Lindsey Phillips,Female,2001-10-15,782 Douglas Greens,Kellyview,Vermont,72029,1,robinquinn@example.net,2015-01-21,77888.55
CUST0064,Sharon Fischer,Female,1962-04-03,78656 Brian Hills Suite 516,New Jonathanport,Rhode Island,68894,3,misty23@example.org,2017-01-21,82212.91
CUST0065,Joshua Jefferson,Male,1975-04-23,1248 Johnny Stream,Taraton,Arizona,40604,1,richardclark@example.com,2018-11-24,99066.27
CUST0066,Rodney Moreno,Female,1958-09-24,533 Robbins Vista,South Rhonda,Ohio,34331,2,wrightkristi@example.net,2016-04-17,20537.5
CUST0067,Alejandro Roberts,Female,1967-09-20,0904 Allen Meadow Suite 097,North Judychester,Pennsylvania,58937,3,norrischristine@example.net,2023-09-14,93802.52
CUST0068,Sarah Thornton,Male,1935-06-16,272 Stephens Union,Jonesmouth,Virginia,34635,1,david39@example.net,2012-08-01,36422.63
CUST0069,Samantha Woods,Male,1985-03-01,494 Brown Lane Suite 350,South Kennethbury,Nebraska,42626,2,josephgarcia@example.org,2018-05-05,46838.63
CUST0070,Yolanda Martin,Male,1982-10-27,26403 Caitlin Junction Suite 382,West Haley,Kansas,90590,5,charlesramirez@example.org,2007-09-12,58849.27
CUST0071,Edward Peters,Male,1975-01-29,67828 Alexis Freeway,Virginiaport,Tennessee,80309,4,odomjimmy@example.com,2015-03-30,62596.02
CUST0072,Alicia Barnett,Female,1964-04-10,7832 Emily Landing,West Scottport,Texas,82988,4,lori23@example.com,2020-09-24,34074.43
CUST0073,Robert Cox,Female,1997-11-09,24655 Mariah Forges,East Mollyberg,Arkansas,32132,1,lewishannah@example.net,2018-10-20,75958.55
CUST0074,Christine Hammond,Female,1985-10-01,35245 Parsons Heights Apt. 908,Lake Jacqueline,Delaware,58303,5,jacquelineharrison@example.org,2013-07-30,57172.73
CUST0075,Stacey Fowler,Male,1958-05-11,8256 Arnold Harbors Suite 376,Hillshire,Maine,63101,3,pturner@example.com,2024-02-21,95728.98
CUST0076,Samuel Murillo,Female,1970-05-01,425 Graham Corner Apt. 201,Lake Michaelshire,Delaware,27129,2,rhayes@example.com,2006-04-09,95299.74
CUST0077,John Goodwin,Female,1939-08-23,09961 Robert Pass Suite 065,Santosview,California,61621,1,csmith@example.net,2018-09-01,92278.38
CUST0078,Jacqueline Bradley,Male,1996-09-23,441 Burgess Brook,East William,Illinois,06896,4,marymiller@example.net,2015-09-03,83724.38
CUST0079,Caitlin Cisneros,Female,1970-05-30,30530 Gonzalez Shoals,South Valerieton,Kansas,75982,2,juan78@example.org,2011-10-10,52959.66
CUST0080,Jennifer Brown,Female,1945-12-03,8482 Joseph Street,Kramerbury,Colorado,84176,2,ubradley@example.org,2020-07-26,88284.29
CUST0081,Adam Greene,Female,1974-09-18,2156 Vaughn Terrace Apt. 143,East Luke,New Jersey,08128,2,eli@example.net,2019-11-20,74788.39
CUST0082,Kimberly Phelps,Female,1976-05-07,9651 Cain Fort,Ericfort,Florida,84454,3,stephenmiller@example.net,2025-02-28,43041.31
CUST0083,Daniel Cobb,Female,1979-11-30,976 Zachary Hills Apt. 519,Karenborough,Michigan,95839,2,austin43@example.com,2020-09-06,10468.52
CUST0084,Katherine Thompson,Female,1993-07-21,75646 Amy Isle,Johnborough,South Dakota,48993,3,christopherwood@example.net,2012-07-06,62423.79
CUST0085,Derrick Ho,Male,1985-03-12,894 Cory Bridge,Timothyshire,Nevada,52923,5,luismorrison@example.org,2017-03-11,41598.79
CUST0086,Hailey Gardner,Male,1938-09-10,462 Caitlyn Trafficway,East Logan,Ohio,28816,4,alexandersteven@example.com,2015-01-14,70574.03
CUST0087,Ryan Harris,Male,1977-08-15,708 Teresa Trace,East Tammyfort,South Carolina,91455,5,tuckerlisa@example.org,2015-10-13,6282.86
CUST0088,David Jones,Female,1935-06-25,245 Martinez Glen,Jamesmouth,Vermont,69038,4,cindy89@example.com,2010-12-14,58809.77
CUST0089,Amy Richards,Male,1946-11-29,1681 Ronald Point,East Richard,Illinois,81417,1,vegamatthew@example.net,2013-02-02,1332.71
CUST0090,Kristen Hernandez,Female,1947-06-29,1897 Elijah Hollow Suite 983,Davisbury,Florida,53131,3,gcooper@example.net,2006-10-08,30723.74
CUST0091,Gina Bernard,Female,1956-10-24,3541 Garrett Streets Suite 714,North Stephanie,Missouri,05909,5,eclark@example.org,2020-11-10,86386.04
CUST0092,Monica Ryan,Male,1988-03-02,407 Anne Port,West Shaunland,Nebraska,91470,4,yjohnson@example.com,2018-09-13,40435.78
CUST0093,Destiny Le,Male,1974-07-31,0180 Johnston Corner,Sabrinashire,Alabama,62241,1,lli@example.com,2013-05-14,94702.36
CUST0094,Monica Ayers,Female,1971-12-04,30346 Thomas Forest Suite 184,Annachester,New Mexico,73229,2,qsolomon@example.com,2021-10-20,53913.28
CUST0095,Patricia Campbell,Female,1942-07-10,50293 Snyder Walk Apt. 373,Ramirezfurt,South Dakota,37218,1,millerlaura@example.net,2024-04-12,56267.79
CUST0096,Aaron Blackburn,Female,1954-10-20,172 Russell Curve,Joneshaven,North Dakota,61009,2,williamsadrian@example.org,2012-06-02,90040.47
CUST0097,Colleen Mora,Male,1973-05-25,7351 James Light,Dawnfurt,Oregon,35548,3,paulbenjamin@example.org,2017-02-10,5363.81
CUST0098,Alicia Briggs,Male,1967-10-25,00491 Tara Garden Apt. 426,New Edwardville,Washington,15911,5,zgarrison@example.net,2010-10-06,60643.81
CUST0099,Linda Reilly,Male,1945-09-03,1196 Walls Ramp Apt. 454,New Stevenstad,Mississippi,11182,2,doris36@example.org,2008-06-22,50211.57
CUST0100,Mark Newton,Female,2001-02-19,11573 Joseph Canyon,Allenview,Wyoming,78410,2,omorgan@example.net,2012-10-01,47553.26
CUST0101,William Moore,Male,1937-10-01,183 Juan Club,Rojasberg,Kansas,37476,3,davidreed@example.com,2007-08-24,27747.2
CUST0102,Alexis Garner,Female,1984-05-12,796 Richard Fort,West Robinland,Washington,25079,4,stacey64@example.net,2018-03-06,22920.25
CUST0103,Yesenia Cortez,Female,1960-09-18,5877 Cheryl Lakes,Browningport,Kansas,56667,1,kennethsmith@example.org,2013-06-06,71915.15
CUST0104,Kelly Burgess,Female,1961-06-24,8441 Nathan Groves Suite 747,Colemanstad,Indiana,32000,3,danielswilliam@example.com,2023-07-16,79152.52
CUST0105,Donald Collins,Female,1953-10-27,0327 Stephens Mission,Herreraport,Alaska,79309,5,mary18@example.net,2024-03-10,4252.36
CUST0106,Gary Lin,Female,1998-06-23,93574 Sandy Port,New David,Kentucky,26055,3,xhess@example.net,2020-06-10,79838.87
CUST0107,Matthew Lewis,Male,1990-11-06,15241 Graham Point,West Amyborough,Maine,38744,2,yreyes@example.net,2012-12-15,7651.6
CUST0108,Paula Ward,Female,1988-08-25,7317 Brewer Locks,Troyshire,Connecticut,82658,5,kristen58@example.com,2012-10-25,28311.45
CUST0109,Gloria Lewis,Female,2006-09-27,06938 Frances Brook,Brianburgh,North Dakota,16787,3,stewartgabriel@example.org,2018-07-04,52626.35
CUST0110,Matthew Lee,Male,2000-05-15,7126 Gonzales Knoll Suite 544,East Norman,Mississippi,09963,4,mooremaurice@example.org,2007-06-21,53856.8
CUST0111,Ashley Simmons,Female,1986-03-18,1266 Patricia Burg,Julietown,Indiana,39676,4,timothyjones@example.net,2013-08-28,65331.11
CUST0112,Robert Robinson,Male,1943-12-08,8868 Jamie Gardens Suite 760,Shannonmouth,Maine,11351,1,wendywarren@example.com,2008-08-13,86217.45
CUST0113,Bruce Weiss,Male,1985-02-13,0046 Andrews Manors Suite 104,Lake Thomastown,Oregon,36236,3,katherine39@example.com,2006-11-12,12489.56
CUST0114,Mark Merritt,Female,1941-07-02,9869 Rogers Harbors Suite 030,North Ashley,Colorado,44627,1,davidhampton@example.net,2008-08-23,56325.01
CUST0115,John Trujillo,Male,1968-01-27,429 Bill View Apt. 996,Matthewshire,Iowa,28587,3,lambertmichael@example.com,2013-02-27,91532.26
CUST0116,Shane Powell,Male,1939-04-20,64720 Shaw Garden,West Glennbury,Texas,16062,1,katherine17@example.org,2023-12-17,30147.62
CUST0117,Steven Bradshaw,Female,1951-11-03,27334 Mcconnell Ramp Apt. 061,East Hollyhaven,Oregon,65706,1,susanandrews@example.org,2023-07-31,3101.42
CUST0118,Alexis Key,Female,1999-01-12,4477 Kristen Land,Matthewmouth,New Jersey,00729,2,lisa45@example.com,2023-05-11,76395.51
CUST0119,Sandra Larson,Male,1942-09-17,6576 Bowman Creek,Tarastad,New York,32332,4,gloria95@example.com,2023-03-02,92646.93
CUST0120,Ryan Watkins,Male,1962-05-06,70536 Taylor Plain,West Feliciaview,Illinois,71470,1,haleykim@example.net,2022-08-11,61463.67
CUST0121,Wesley Vega,Male,1959-06-10,7669 Pratt Causeway Apt. 598,Sherryfort,Mississippi,52685,2,myerspatricia@example.com,2011-01-12,62225.4
CUST0122,Jeffrey Alexander,Male,1984-11-26,9230 Vaughn Crossroad Suite 073,North Donna,Vermont,27450,5,fletcherjared@example.org,2016-09-29,13941.74
CUST0123,Danielle Shelton,Female,1997-03-28,1683 Adam Junction,Port Donna,Georgia,69485,3,steven07@example.org,2006-11-28,88624.23
CUST0124,Larry Griffith,Female,1959-06-20,36399 Wendy Locks Apt. 054,East Cameron,Connecticut,95944,4,pgilbert@example.net,2010-11-02,38422.65
CUST0125,Joseph Horton,Female,1962-03-28,561 Jacob Stravenue Suite 116,Castillostad,Nevada,03706,4,contrerasbrandi@example.org,2019-11-08,98439.58
CUST0126,Sean Higgins,Female,1934-04-15,6111 Harris Turnpike Apt. 613,Fordborough,South Carolina,00605,1,morenojulie@example.org,2013-02-19,96056.94
CUST0127,Sarah Rivera,Male,1939-08-25,84195 David Fork,Lake Kimberly,Ohio,62822,3,taylorandrew@example.com,2014-07-05,62957.5
CUST0128,Lauren Nelson,Male,1979-09-15,6228 Joshua Road,Hopkinsfurt,Wisconsin,33183,1,utate@example.com,2008-08-31,20867.65
CUST0129,Terri Murray,Female,2005-01-07,76532 Douglas Points,Floydburgh,New York,80403,3,colemanhannah@example.org,2015-12-29,62510.38
CUST0130,Bruce Sharp,Female,1969-05-15,3220 Nicole Landing,Berryville,Arizona,86361,5,craig16@example.com,2020-03-23,67159.95
CUST0131,Amanda Coffey,Female,1981-06-28,895 Avila Curve,West Scott,New York,05241,1,stewartjoshua@example.com,2009-07-23,43597.57
CUST0132,Justin Lopez,Female,2003-05-02,124 Williamson Overpass,Lorifort,Texas,70938,3,toddmcdowell@example.net,2021-09-19,10738.53
CUST0133,Gregory Woodward,Male,1953-01-30,4824 Moore Brooks,New Ernestmouth,California,82929,4,nancy17@example.org,2014-04-08,90505.53
CUST0134,Mark Bautista,Female,1950-01-05,292 Kathy Burgs Apt. 249,Christinafurt,New Mexico,41817,4,lbruce@example.net,2017-07-21,99348.08
CUST0135,Nicholas Olson,Female,2000-10-25,0509 Jimenez Turnpike,Port Christopherhaven,Colorado,35173,3,florestimothy@example.com,2022-08-25,90657.86
CUST0136,Cheryl Garcia,Male,1960-02-01,1226 Love Mission Suite 619,South Christophershire,Louisiana,37275,3,beckeralbert@example.com,2012-07-15,24204.1
CUST0137,Jenna Rivera,Female,1987-07-08,90859 Nancy Alley Apt. 367,Leonardmouth,Louisiana,50537,2,crystalmurray@example.com,2020-01-24,54174.97
CUST0138,Anna Wilson,Female,1980-07-31,5717 Lee Gateway,Port Debbieborough,California,00555,1,zacharypalmer@example.org,2023-01-13,73934.73
CUST0139,Judy Rodriguez,Female,1938-02-03,2649 Massey Corners,East Barry,Arizona,36683,1,jmartinez@example.com,2018-07-22,50543.92
CUST0140,Amanda Garcia,Female,1960-05-25,500 Rangel Tunnel,Jamesstad,West Virginia,13775,3,mark38@example.com,2012-04-08,24956.95
CUST0141,John Wilson,Male,1996-01-11,1374 Maria Lock,South Robertborough,Kansas,84694,2,thomaslopez@example.net,2019-05-24,31597.94
CUST0142,Kathryn Golden,Male,1948-12-16,72307 Robin Key Apt. 204,Mccoyhaven,South Carolina,20555,4,wfoster@example.net,2020-09-17,38822.58
CUST0143,Lauren Hill,Male,1968-01-10,094 Douglas Ferry Suite 821,Justinbury,Texas,97064,2,morrisonmargaret@example.com,2019-08-23,89679.04
CUST0144,Amanda Hernandez,Male,1983-04-20,21086 Michael Trafficway,Danielmouth,North Carolina,15587,2,michaelperry@example.net,2019-04-24,52968.47
CUST0145,Christopher Rodriguez,Male,1995-12-30,1038 David Harbors,West Yvonne,Oklahoma,84930,1,qmichael@example.net,2005-07-03,97870.73
CUST0146,Sandra Wyatt,Female,1975-08-07,0144 Johnson Underpass Suite 504,Valdezbury,South Dakota,21513,4,rvega@example.com,2006-11-14,80655.18
CUST0147,Michael Perez,Male,2001-02-14,657 Jonathan Branch Suite 604,Braunshire,Maryland,52007,2,perryjanice@example.org,2024-02-11,36866.82
CUST0148,Alfred Ramirez,Female,1977-07-01,4604 Deborah Court Suite 343,Port Matthewborough,Kentucky,39049,2,sandrahenderson@example.net,2006-03-10,39318.95
CUST0149,David Aguilar,Female,2002-11-19,2199 White Forge Suite 590,South Stephanie,Montana,45071,5,vshepard@example.com,2021-10-30,10078.62
CUST0150,Debra Moran,Male,1965-10-29,41332 Maxwell Underpass,East Jennifer,Iowa,30445,5,ellen56@example.com,2013-04-24,20382.91
CUST0151,Edward Patterson,Male,1961-03-13,183 Donna Wells,Jenniferport,Rhode Island,44135,2,nathan29@example.org,2012-02-07,82261.38
CUST0152,Steven Hall,Male,1986-11-03,8388 Joe Key,Nguyenbury,Wisconsin,14851,3,leah05@example.net,2023-06-30,81275.57
CUST0153,Kelly Lawson,Male,1961-08-05,78089 Dylan Underpass Apt. 077,New Mario,Arkansas,07881,1,thompsonrobert@example.com,2008-03-20,78881.49
CUST0154,Kathryn Moran,Female,1979-08-21,6802 Sherry Station,South Michaelside,Montana,74916,4,elizabethtownsend@example.org,2013-08-22,13732.15
CUST0155,Erika Martinez,Male,1967-04-27,082 Fernandez Stream Suite 894,North Jeremyland,Wyoming,84865,3,twood@example.net,2022-08-11,20375.47
CUST0156,Stephen Blevins,Male,1981-04-29,432 Patrick Causeway Suite 221,South Deborah,Utah,46939,4,ostewart@example.com,2017-04-01,67850.03
CUST0157,Steve Booker,Male,1989-04-17,536 Mindy Wells Apt. 639,East Sharonmouth,Maryland,53640,2,cooperjoshua@example.net,2017-11-24,52028.24
CUST0158,James Boyd,Male,1995-05-12,7758 Nicholas Junctions Apt. 780,Harveytown,Wisconsin,45572,1,mturner@example.com,2013-07-21,93331.16
CUST0159,Joshua Medina,Male,1949-11-27,6815 Patel Creek Apt. 746,Michellehaven,Vermont,59029,5,millertiffany@example.net,2008-02-25,77554.21
CUST0160,Nathan Turner,Female,2000-11-30,91607 Ryan Gardens Apt. 166,Moyermouth,Nevada,32811,3,doylemark@example.net,2020-02-13,10185.9
CUST0161,Gregory Romero,Female,1968-10-07,2336 Thomas Valleys Suite 408,West Kellychester,Indiana,01847,2,wrightmelissa@example.net,2018-02-20,61999.75
CUST0162,Loretta Morrison,Female,2006-04-02,516 Laura Alley Apt. 875,Lydiabury,North Dakota,82429,5,ywong@example.net,2023-11-08,64395.57
CUST0163,Amy Martinez,Female,1948-08-12,731 Wright Alley,Davidhaven,Illinois,40565,1,andre75@example.org,2012-04-15,10277.89
CUST0164,Willie Duarte,Male,1965-09-29,5327 Rodriguez Crest Apt. 854,Joshuafurt,Delaware,97192,5,paul18@example.com,2012-06-20,63883.32
CUST0165,Jesus Greer,Male,1988-05-04,659 Hernandez Walk Suite 104,East Rhonda,Delaware,42643,4,joeljohnson@example.org,2013-04-08,62805.43
CUST0166,Jermaine West,Female,1970-03-26,16058 Bailey Field,Perezport,Hawaii,78526,3,fgrant@example.net,2007-06-05,15526.39
CUST0167,Jacob Jackson,Male,2006-03-21,3806 Meza Port,Lake Steven,Idaho,30827,1,toni44@example.net,2022-11-25,9619.79
CUST0168,Michael Henry,Female,1986-11-02,02717 Michael Fort,Garyborough,Maine,63115,1,wbrowning@example.org,2010-11-13,95033.55
CUST0169,Joseph Winters,Male,1939-03-03,75847 Daniel Village Apt. 554,Keithberg,Idaho,63842,1,mjimenez@example.com,2009-07-03,77529.83
CUST0170,Jennifer Harris,Male,1975-08-06,28902 Travis Avenue,South William,Pennsylvania,99109,4,emilysmith@example.org,2010-02-13,13257.64
CUST0171,Anthony Smith,Male,1971-08-12,869 Aguilar Glen Apt. 590,Priceburgh,Washington,95832,3,robinsonchris@example.com,2015-07-31,24375.67
CUST0172,Christopher Brooks,Male,1973-03-13,826 Kennedy Dale Suite 344,South Kellyland,Vermont,97841,3,jeffery50@example.net,2019-09-15,71989.77
CUST0173,Jose Gray,Female,1947-08-28,3149 Herrera Bypass Apt. 653,East Jacobfurt,Wyoming,52504,4,eatonjohnny@example.org,2009-10-25,39886.67
CUST0174,Tiffany Walter,Female,1986-10-12,6658 Katherine Islands,Andrewfurt,North Carolina,37675,4,yolanda77@example.com,2012-12-24,83906.25
CUST0175,Kaitlin Harding,Male,1946-05-10,913 Khan Isle Suite 194,North Taylorview,Montana,45536,1,martingina@example.net,2010-01-08,66346.97
CUST0176,Matthew Tyler,Male,1977-03-16,3551 Antonio Curve Apt. 603,Danielshire,Georgia,16194,2,erinrogers@example.org,2016-05-28,28345.51
CUST0177,Joseph Collins,Male,1979-05-03,9866 Rebecca Circle Apt. 168,East Tammyberg,Ohio,18012,4,charlene12@example.com,2007-10-27,46719.78
CUST0178,Shawn Fuller,Male,1937-04-20,00508 Walls Neck Apt. 005,Lake Matthew,Michigan,06615,1,william57@example.net,2011-10-01,52617.78
CUST0179,Lynn Burke,Male,1974-10-07,84225 Amy Light Apt. 096,Lake Aaronport,Alaska,74882,4,abriggs@example.net,2008-03-01,97060.98
CUST0180,Natalie Scott,Male,1975-10-26,8368 Johnson Skyway Apt. 894,Smithland,Nebraska,13200,4,danieladams@example.org,2014-03-18,64851.14
CUST0181,Shawn Roman,Male,1985-03-20,31976 Cynthia Stream Suite 102,Harrisonmouth,Texas,29332,4,phillip45@example.org,2013-09-13,92664.68
